Sentence,Label,Original_Index
clean apartment try get life back order vacation holiday mayhem instead feel grumpy like usually would feel overwhelmingly bless,anger,518
I ve invested 9 goddamn years watching these twits I m going down with the ship,anger,523
i felt out of control i hated myself for feeling it then felt more out of control hated myself for hating that i hated it and it just got worse until i was walking to work in a haze trying to not curl up on the pavement and just,anger,526
"The app’s support never replied, and I’m livid!",anger,529
"No, stop! Hell stop cranking the job machine if you insult him again!",anger,534
brother provoked anger it was when mother and father were away  and we had to look after ourselves he accused me of being  selfish and a snob,anger,536
i almost feel too stubborn to come back as i said that i was leaving,anger,541
"Im always worrying about the same thing, thats why Im always posting and within hours freaking out and deleting my posts",anger,543
i can not drop this class because then i lose the financial aid for not having enough credits plus i feel like a quitter and im too stubborn for that,anger,544
i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard,anger,548
i remember feeling a little jealous and realized that our time together wasnt solely about me but that he has a larger network of social interactions all ready in progress before i got there,anger,558
lol instead of getting blocked he deleted his account and called us all soulless and depraved,anger,563
witnessing the unjust accusation made by my father towards my brother regarding a car collision igniting a mixture of frustration and disappointment,anger,566
within my apartment there sat a sofa that had been left behind by the previous tenants who happened to be acquaintances they had made plans to retrieve it a year ago constantly postponing the arrangement finally they settled on a specific date prompting me to alter my plans and stay home despite having other pressing matters to attend to however they neither arrived nor communicated their absence and to this day they have not reached out leaving me with a lingering sense of frustration,anger,567
I got grounded from reading once and it was the worst punishment I ever had,anger,568
i am feeling a little stressed as aaron has friends over for a sleep over,anger,577
getting a low grade on my physics midterm,anger,579
id done that though it kind of did a on me and i found myself sympathizing with the demons as the church called them and feeling more disgusted with the people who were supposed to be trying to fight them off,anger,597
i wake up feeling cranky and out of sorts,anger,601
"Your mom is putting actual effort into having a relationship with you, you insufferable donut.",anger,604
No no forms or anything I was pleading with them not to go and it seemed surreal that I was being forced to go,anger,607
NAME that poor man just cut em off,anger,610
despite providing accurate answers and demonstrating a solid understanding of the material i received a disappointing grade on a midterm seeking to rectify the situation i approached the teaching assistant in hopes of appealing for a higher grade only to be met with an unyielding refusal a tinge of frustration permeated my thoughts,anger,613
i did not care much about the number of viewers and the viewer ratings before but as the drama iris gained huge success i began to feel greedy,anger,618
at an office an application that i had made was turned down  because of a scrupulous interpretation of the rules,anger,623
>lox is optional How dare you put  in your flair! How dare you.. Mods! Mods! Apprehend this impostor!,anger,626
i woke up this morning feeling very agitated at the day coming,anger,629
see i m over here thinking i hate sports now if you could just take my balls and go home,anger,635
You already used that one my abusive buddy,anger,640
my parents didnt allow me to go to a social function that all my  friends were attending,anger,642
i didnt feel the cold up there because we had a fire every night,anger,646
i love rocking her to sleep at nap time during the day and not feeling rushed or exhausted,anger,648
Huh our foster loves being snuggled in a blanket but our dog we ve had for 6 years hates being covered,anger,651
i reached the bus stop and realized that i had forgotten my bus  pass,anger,652
the delay in my fathers return from chipata knowing that his presence was crucial for progress ignited a simmering frustration within me questioning his actions,anger,655
Just the ones who jump on my car So far that s no one but who knows what the future will hold,anger,656
I ve removed your post for witch hunting Please be mindful of that in the future,anger,663
a higher status colleague of mine despised my attitude and  organization of work,anger,667
That s the worst urinal ever,anger,670
Lol the fact that actual fans can t afford tickets is why there are let s go heat chants at this game,anger,671
THAT S WHAT YOU GET WHEN YOU FIND A STRANGER IN THE ALPS,anger,672
I just housed a transgender person for a few months after she came out to her parrents So people are so cruel,anger,673
Yeah We should have given him justice by believing in claims with no merit Yeah Btw NAME raped me 30 years ago Get him,anger,674
What s worse is using self destruct without the pilot DLC You just die,anger,677
It s soccer He was faking the injury anyway,anger,678
sorry really bad cold feel bitchy cos never get drink stupid best friends tonight,anger,683
"The app wouldn’t submit my form, and I missed a deadline!",anger,688
i still try to force myself to do some even if i m feeling irritable withdrawn and quiet at the time,anger,690
betrayed by a supposed friends attempt to slander me with baseless accusations i found myself questioning the authenticity of our friendship,anger,693
i could barely leave the house and i was feeling a lot of isolation and i hated the lack of control i had over my own life because everyone else i knew was moving on with theirs,anger,695
Oh look it s wr2 proceeds to get fucked,anger,698
awful vehicle physics that cause you to instantly die when hitting small bumps and certain angles WHY,anger,699
"That  s what you said the last time ! If you want to smoke , you  ll have to use your break time and go outside !",anger,704
feel really petty immature want cheat greg end break fight stupid little things,anger,707
i feel this feeling when i am to fill in a questionnaire or a  form,anger,710
Understood - PM was all gears and no downtime. Last thing I would want is another bloody job like that. Cheers,anger,712
i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought,anger,715
i ran errands to buy cora a few newborn sized sleepers i had not previously made any newborn sized babies and went out to lunch to celebrate how great i was feeling i feel amazing no pain no pain meds and moving around almost completely normally at days out,anger,716
the necessity of contacting the telephone company regarding an overdue bill for my landlords disconnected phone which he had been using without intention to rectify stirred up a surge of frustration within me,anger,718
my best friend at school told lies about me to a boy i was seeing  and went out with him herself,anger,719
walk away feel dissatisfy like wait caffeine hit get decaf,anger,722
I hate when MoonWolf1-799 is taken.,anger,723
Can we get a moment of silence for the passing of the video game boy,anger,724
Yep first hour free at long term But if you go a SECOND over that you owe them 19 80 They re fucking ruthless,anger,725
start secondary school age every night would cry lose sleep think school next day usual feel bother school,anger,727
when i was accused by my brother of having stolen a  kwatcha  note from my mothers bag  i was beaten up for this the money  was found later,anger,738
Dont worry guys its all sanitary He hit the wrench with some WD40 before he started,anger,739
i compare it to mine i feel irritated but i tried to be realistic to calm my self down,anger,741
when i get home late my father scolds me and this makes me angry,anger,742
i was feeling pretty cranky and down and all i could think of what how much better i feel when i cut my hair off,anger,743
due to my own oversight i unintentionally locked myself out evoking a fleeting moment of frustration as i navigated the consequences of my forgetfulness,anger,745
when i saw a man hitting a child of  years without any consideration  simply because the child had been leaning against a window,anger,746
I recommend this I read the WN and it fucked up my English for months English is my second language,anger,754
i have to find myself sitting in front of the consultant feeling furious and increasingly upset at her patronising refusal to allow me to make a choice over the kind of birth i wanted,anger,755
Oh sh t guys I got banned,anger,757
i feel frustrated sometimes with my mac lipsticks when i have to read names or open each of them to select shade,anger,764
i really could not feel a thing and i felt slightly annoyed at the nurse who every time i pushed kept saying things like you are an incredibly strong woman be strong be strong,anger,767
That one pesky drop of water was in it for the long haul,anger,769
i have really come up against some intense struggles since moving in here and i have to say i am very proud at the way we are giving each other the respect to feel however we need to feel mad stressed whatever and yet we still pull together to fix the issue,anger,770
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger,772
The bourgeoisie elected courts were going to backtrack on all NAME economic reforms Fuck those guys,anger,773
I m saying NAME is the pretentious one and that the original commenter s response to him is a perfect mockery of the asshole,anger,774
I’m livid because the app rejects my valid card!,anger,776
already feel atmosphere around seem dangerous,anger,777
i was waiting to receive the participation on the profits and did  not receive it,anger,778
im not feeling pissed off about picking up those toys,anger,780
"The app didn’t load my ticket, and I missed my event!",anger,781
feel little grumpy think everything need get flip around way well ready roll sleeves write list get work,anger,784
i feel like waiting for you to be online and you didnt makes me furious,anger,786
Why was nobody driving the damn thing They were all in the backseat,anger,787
Oh fuck off Soooo when is NAME and the gang going to un mask NAME as President NAME,anger,788
my employer took too many aspirins for a bad back and also drank  an enormous amount of spirit  this was dangerous  and he did  not understand that he had done anything wrong,anger,790
Yes! What the hell is it with ikea? My husband and I don’t go together anymore.,anger,791
i stopped feeling bitter and sorry for myself and lost myself in the work my work started getting better or rather continued to get better,anger,795
He needed to have sex with NAME to complete his mission duh,anger,796
Dont you know? We have to just shut up and put our heads down until they decide!,anger,797
following a lengthy journey in my fathers van without any mishaps i inadvertently dented the side of the vehicle against a pole while refueling to add to the frustration the cars electrical system malfunctioned when i attempted to drive home from his house,anger,799
